Epoch 0: Loss = 3.3337, Accuracy = 19.00%
Epoch 0: Loss = 3.3420, Accuracy = 17.00%
Epoch 0: Loss = 3.1361, Accuracy = 38.00%
Epoch 0: Loss = 3.2576, Accuracy = 26.00%
Epoch 0: Loss = 3.2191, Accuracy = 30.00%
Epoch 0: Loss = 3.1566, Accuracy = 36.00%
Epoch 0: Loss = 3.2036, Accuracy = 31.00%
Epoch 0: Loss = 3.2584, Accuracy = 26.00%
Epoch 0: Loss = 3.2298, Accuracy = 28.00%
Epoch 0: Loss = 3.2268, Accuracy = 29.00%
Epoch 0: Loss = 3.1707, Accuracy = 35.00%
Epoch 0: Loss = 3.3028, Accuracy = 21.00%
Epoch 0: Loss = 3.2872, Accuracy = 23.00%
Epoch 0: Loss = 3.2147, Accuracy = 30.00%
Epoch 0: Loss = 3.2377, Accuracy = 28.00%
Epoch 0: Loss = 3.3185, Accuracy = 20.00%
Epoch 0: Loss = 3.2698, Accuracy = 25.00%
Epoch 0: Loss = 3.1877, Accuracy = 33.00%
Epoch 0: Loss = 3.2870, Accuracy = 23.00%
Epoch 0: Loss = 3.2436, Accuracy = 27.00%
Epoch 0: Loss = 3.2421, Accuracy = 28.00%
Epoch 0: Loss = 3.3053, Accuracy = 21.00%
Epoch 0: Loss = 3.2528, Accuracy = 26.00%
Epoch 0: Loss = 3.2076, Accuracy = 31.00%
Epoch 0: Loss = 3.3240, Accuracy = 19.00%
Epoch 0: Loss = 3.2973, Accuracy = 22.00%
Epoch 0: Loss = 3.3089, Accuracy = 21.00%
Epoch 0: Loss = 3.1785, Accuracy = 34.00%
Epoch 0: Loss = 3.2532, Accuracy = 26.00%
Epoch 0: Loss = 3.1928, Accuracy = 33.00%
Epoch 0: Loss = 3.2369, Accuracy = 28.00%
Epoch 0: Loss = 3.2846, Accuracy = 23.00%
Epoch 0: Loss = 3.1973, Accuracy = 32.00%
Epoch 0: Loss = 3.2265, Accuracy = 29.00%
Epoch 0: Loss = 3.2074, Accuracy = 31.00%
Epoch 0: Loss = 3.2169, Accuracy = 30.00%
Epoch 0: Loss = 3.1970, Accuracy = 32.00%
Epoch 0: Loss = 3.2676, Accuracy = 25.00%
Epoch 0: Loss = 3.2699, Accuracy = 25.00%
Epoch 0: Loss = 3.2072, Accuracy = 31.00%
Epoch 0: Loss = 3.3049, Accuracy = 21.00%
Epoch 0: Loss = 3.2712, Accuracy = 25.00%
Epoch 0: Loss = 3.2472, Accuracy = 27.00%
Epoch 0: Loss = 3.2161, Accuracy = 30.00%
Epoch 0: Loss = 3.1870, Accuracy = 34.00%
Epoch 0: Loss = 3.2758, Accuracy = 24.00%
Epoch 0: Loss = 3.2344, Accuracy = 29.00%
Epoch 0: Loss = 3.2083, Accuracy = 30.00%
Epoch 0: Loss = 3.2654, Accuracy = 25.00%
Epoch 0: Loss = 3.2689, Accuracy = 25.00%
Epoch 0: Loss = 3.1933, Accuracy = 32.00%
Epoch 0: Loss = 3.1869, Accuracy = 33.00%
Epoch 0: Loss = 3.2776, Accuracy = 24.00%
Epoch 0: Loss = 3.2385, Accuracy = 28.00%
Epoch 0: Loss = 3.2583, Accuracy = 26.00%
Epoch 0: Loss = 3.3055, Accuracy = 21.00%
Epoch 0: Loss = 3.2845, Accuracy = 23.00%
Epoch 0: Loss = 3.0957, Accuracy = 42.00%
Epoch 0: Loss = 3.2302, Accuracy = 29.00%
Epoch 0: Loss = 3.2611, Accuracy = 25.00%
Epoch 0: Loss = 3.2470, Accuracy = 27.00%
Epoch 0: Loss = 3.2870, Accuracy = 23.00%
Epoch 0: Loss = 3.2385, Accuracy = 28.00%
Epoch 0: Loss = 3.2879, Accuracy = 23.00%
Epoch 0: Loss = 3.2380, Accuracy = 28.00%
Epoch 0: Loss = 3.2175, Accuracy = 30.00%
Epoch 0: Loss = 3.1385, Accuracy = 38.00%
Epoch 0: Loss = 3.2308, Accuracy = 29.00%
Epoch 0: Loss = 3.2493, Accuracy = 27.00%
Epoch 0: Loss = 3.2768, Accuracy = 24.00%
Epoch 0: Loss = 3.2372, Accuracy = 28.00%
Epoch 0: Loss = 3.2970, Accuracy = 22.00%
Epoch 0: Loss = 3.2237, Accuracy = 29.00%
Epoch 0: Loss = 3.2675, Accuracy = 25.00%
Epoch 0: Loss = 3.1873, Accuracy = 33.00%
Epoch 0: Loss = 3.2474, Accuracy = 27.00%
Epoch 0: Loss = 3.2336, Accuracy = 28.00%
Epoch 0: Loss = 3.2862, Accuracy = 23.00%
Epoch 0: Loss = 3.3266, Accuracy = 19.00%
Epoch 0: Loss = 3.2475, Accuracy = 27.00%
